Model,MASE,RMSSE,MAE,RMSE,MAPE,SMAPE,R2,TT (Sec)
Exponential Smoothing,0.7349,0.8061,17.9991,22.1385,0.0574,0.059,0.7379,0.0333
ARIMA,0.8027,0.8531,19.532,23.2748,0.0636,0.0657,0.6974,0.5567
STLF,0.8047,0.8543,19.6169,23.3408,0.0639,0.0657,0.6985,0.0167
